image_fn,label_fn,gt_label_fn
dataset/Poland_dataset/HR_image/swietokrzyskie_9.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_9_esa.tif,
dataset/Poland_dataset/HR_image/slaskie_29.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_29_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_29.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_7.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_7_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_7.tif
dataset/Poland_dataset/HR_image/slaskie_23.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_23_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_23.tif
dataset/Poland_dataset/HR_image/swietokrzyskie_36.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_36_esa.tif,dataset/Poland_dataset/HR_ground_truth/swietokrzyskie_36.tif
dataset/Poland_dataset/HR_image/swietokrzyskie_15.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_15_esa.tif,dataset/Poland_dataset/HR_ground_truth/swietokrzyskie_15.tif
dataset/Poland_dataset/HR_image/podkarpackie_12.tif,dataset/Poland_dataset/ESA_GLC10_label/podkarpackie_12_esa.tif,
dataset/Poland_dataset/HR_image/warminsko-mazurskie_7.tif,dataset/Poland_dataset/ESA_GLC10_label/warminsko-mazurskie_7_esa.tif,dataset/Poland_dataset/HR_ground_truth/warminsko-mazurskie_7.tif
dataset/Poland_dataset/HR_image/slaskie_1.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_1_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_1.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_20.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_20_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_20.tif
dataset/Poland_dataset/HR_image/podlaskie_7.tif,dataset/Poland_dataset/ESA_GLC10_label/podlaskie_7_esa.tif,
dataset/Poland_dataset/HR_image/swietokrzyskie_3.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_3_esa.tif,dataset/Poland_dataset/HR_ground_truth/swietokrzyskie_3.tif
dataset/Poland_dataset/HR_image/malopolskie_19.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_19_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_19.tif
dataset/Poland_dataset/HR_image/mazowieckie_37.tif,dataset/Poland_dataset/ESA_GLC10_label/mazowieckie_37_esa.tif,dataset/Poland_dataset/HR_ground_truth/mazowieckie_37.tif
dataset/Poland_dataset/HR_image/malopolskie_1.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_1_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_1.tif
dataset/Poland_dataset/HR_image/podkarpackie_4.tif,dataset/Poland_dataset/ESA_GLC10_label/podkarpackie_4_esa.tif,dataset/Poland_dataset/HR_ground_truth/podkarpackie_4.tif
dataset/Poland_dataset/HR_image/kujawsko-pomorskie_16.tif,dataset/Poland_dataset/ESA_GLC10_label/kujawsko-pomorskie_16_esa.tif,dataset/Poland_dataset/HR_ground_truth/kujawsko-pomorskie_16.tif
dataset/Poland_dataset/HR_image/slaskie_16.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_16_esa.tif,
dataset/Poland_dataset/HR_image/malopolskie_34.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_34_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_34.tif
dataset/Poland_dataset/HR_image/swietokrzyskie_34.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_34_esa.tif,
dataset/Poland_dataset/HR_image/kujawsko-pomorskie_19.tif,dataset/Poland_dataset/ESA_GLC10_label/kujawsko-pomorskie_19_esa.tif,dataset/Poland_dataset/HR_ground_truth/kujawsko-pomorskie_19.tif
dataset/Poland_dataset/HR_image/swietokrzyskie_24.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_24_esa.tif,dataset/Poland_dataset/HR_ground_truth/swietokrzyskie_24.tif
dataset/Poland_dataset/HR_image/lubuskie_9.tif,dataset/Poland_dataset/ESA_GLC10_label/lubuskie_9_esa.tif,dataset/Poland_dataset/HR_ground_truth/lubuskie_9.tif
dataset/Poland_dataset/HR_image/swietokrzyskie_7.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_7_esa.tif,dataset/Poland_dataset/HR_ground_truth/swietokrzyskie_7.tif
dataset/Poland_dataset/HR_image/pomorskie_30.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_30_esa.tif,dataset/Poland_dataset/HR_ground_truth/pomorskie_30.tif
dataset/Poland_dataset/HR_image/lodzkie_4.tif,dataset/Poland_dataset/ESA_GLC10_label/lodzkie_4_esa.tif,dataset/Poland_dataset/HR_ground_truth/lodzkie_4.tif
dataset/Poland_dataset/HR_image/wielkopolskie_2.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_2_esa.tif,
dataset/Poland_dataset/HR_image/malopolskie_10.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_10_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_10.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_10.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_10_esa.tif,
dataset/Poland_dataset/HR_image/swietokrzyskie_35.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_35_esa.tif,dataset/Poland_dataset/HR_ground_truth/swietokrzyskie_35.tif
dataset/Poland_dataset/HR_image/malopolskie_18.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_18_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_18.tif
dataset/Poland_dataset/HR_image/slaskie_27.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_27_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_27.tif
dataset/Poland_dataset/HR_image/wielkopolskie_25.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_25_esa.tif,
dataset/Poland_dataset/HR_image/slaskie_24.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_24_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_24.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_6.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_6_esa.tif,
dataset/Poland_dataset/HR_image/wielkopolskie_22.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_22_esa.tif,dataset/Poland_dataset/HR_ground_truth/wielkopolskie_22.tif
dataset/Poland_dataset/HR_image/wielkopolskie_7.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_7_esa.tif,
dataset/Poland_dataset/HR_image/pomorskie_6.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_6_esa.tif,dataset/Poland_dataset/HR_ground_truth/pomorskie_6.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_2.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_2_esa.tif,
dataset/Poland_dataset/HR_image/dolnoslaskie_28.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_28_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_28.tif
dataset/Poland_dataset/HR_image/slaskie_17.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_17_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_17.tif
dataset/Poland_dataset/HR_image/podkarpackie_1.tif,dataset/Poland_dataset/ESA_GLC10_label/podkarpackie_1_esa.tif,
dataset/Poland_dataset/HR_image/swietokrzyskie_27.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_27_esa.tif,dataset/Poland_dataset/HR_ground_truth/swietokrzyskie_27.tif
dataset/Poland_dataset/HR_image/wielkopolskie_38.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_38_esa.tif,dataset/Poland_dataset/HR_ground_truth/wielkopolskie_38.tif
dataset/Poland_dataset/HR_image/zachodniopomorskie_5.tif,dataset/Poland_dataset/ESA_GLC10_label/zachodniopomorskie_5_esa.tif,dataset/Poland_dataset/HR_ground_truth/zachodniopomorskie_5.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_19.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_19_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_19.tif
dataset/Poland_dataset/HR_image/malopolskie_29.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_29_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_29.tif
dataset/Poland_dataset/HR_image/pomorskie_17.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_17_esa.tif,dataset/Poland_dataset/HR_ground_truth/pomorskie_17.tif
dataset/Poland_dataset/HR_image/mazowieckie_4.tif,dataset/Poland_dataset/ESA_GLC10_label/mazowieckie_4_esa.tif,dataset/Poland_dataset/HR_ground_truth/mazowieckie_4.tif
dataset/Poland_dataset/HR_image/lubuskie_6.tif,dataset/Poland_dataset/ESA_GLC10_label/lubuskie_6_esa.tif,dataset/Poland_dataset/HR_ground_truth/lubuskie_6.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_8.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_8_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_8.tif
dataset/Poland_dataset/HR_image/slaskie_19.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_19_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_19.tif
dataset/Poland_dataset/HR_image/wielkopolskie_33.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_33_esa.tif,dataset/Poland_dataset/HR_ground_truth/wielkopolskie_33.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_37.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_37_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_37.tif
dataset/Poland_dataset/HR_image/malopolskie_30.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_30_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_30.tif
dataset/Poland_dataset/HR_image/slaskie_31.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_31_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_31.tif
dataset/Poland_dataset/HR_image/pomorskie_34.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_34_esa.tif,dataset/Poland_dataset/HR_ground_truth/pomorskie_34.tif
dataset/Poland_dataset/HR_image/malopolskie_9.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_9_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_9.tif
dataset/Poland_dataset/HR_image/malopolskie_20.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_20_esa.tif,
dataset/Poland_dataset/HR_image/kujawsko-pomorskie_21.tif,dataset/Poland_dataset/ESA_GLC10_label/kujawsko-pomorskie_21_esa.tif,
dataset/Poland_dataset/HR_image/kujawsko-pomorskie_1.tif,dataset/Poland_dataset/ESA_GLC10_label/kujawsko-pomorskie_1_esa.tif,dataset/Poland_dataset/HR_ground_truth/kujawsko-pomorskie_1.tif
dataset/Poland_dataset/HR_image/malopolskie_16.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_16_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_16.tif
dataset/Poland_dataset/HR_image/pomorskie_21.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_21_esa.tif,
dataset/Poland_dataset/HR_image/slaskie_36.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_36_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_36.tif
dataset/Poland_dataset/HR_image/wielkopolskie_29.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_29_esa.tif,dataset/Poland_dataset/HR_ground_truth/wielkopolskie_29.tif
dataset/Poland_dataset/HR_image/wielkopolskie_31.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_31_esa.tif,
dataset/Poland_dataset/HR_image/dolnoslaskie_32.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_32_esa.tif,
dataset/Poland_dataset/HR_image/swietokrzyskie_14.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_14_esa.tif,
dataset/Poland_dataset/HR_image/pomorskie_11.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_11_esa.tif,
dataset/Poland_dataset/HR_image/wielkopolskie_14.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_14_esa.tif,dataset/Poland_dataset/HR_ground_truth/wielkopolskie_14.tif
dataset/Poland_dataset/HR_image/mazowieckie_30.tif,dataset/Poland_dataset/ESA_GLC10_label/mazowieckie_30_esa.tif,dataset/Poland_dataset/HR_ground_truth/mazowieckie_30.tif
dataset/Poland_dataset/HR_image/lubuskie_14.tif,dataset/Poland_dataset/ESA_GLC10_label/lubuskie_14_esa.tif,
dataset/Poland_dataset/HR_image/mazowieckie_12.tif,dataset/Poland_dataset/ESA_GLC10_label/mazowieckie_12_esa.tif,dataset/Poland_dataset/HR_ground_truth/mazowieckie_12.tif
dataset/Poland_dataset/HR_image/mazowieckie_16.tif,dataset/Poland_dataset/ESA_GLC10_label/mazowieckie_16_esa.tif,
dataset/Poland_dataset/HR_image/lodzkie_20.tif,dataset/Poland_dataset/ESA_GLC10_label/lodzkie_20_esa.tif,
dataset/Poland_dataset/HR_image/slaskie_11.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_11_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_11.tif
dataset/Poland_dataset/HR_image/mazowieckie_40.tif,dataset/Poland_dataset/ESA_GLC10_label/mazowieckie_40_esa.tif,dataset/Poland_dataset/HR_ground_truth/mazowieckie_40.tif
dataset/Poland_dataset/HR_image/pomorskie_20.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_20_esa.tif,dataset/Poland_dataset/HR_ground_truth/pomorskie_20.tif
dataset/Poland_dataset/HR_image/swietokrzyskie_1.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_1_esa.tif,dataset/Poland_dataset/HR_ground_truth/swietokrzyskie_1.tif
dataset/Poland_dataset/HR_image/kujawsko-pomorskie_6.tif,dataset/Poland_dataset/ESA_GLC10_label/kujawsko-pomorskie_6_esa.tif,
dataset/Poland_dataset/HR_image/wielkopolskie_27.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_27_esa.tif,
dataset/Poland_dataset/HR_image/lodzkie_15.tif,dataset/Poland_dataset/ESA_GLC10_label/lodzkie_15_esa.tif,dataset/Poland_dataset/HR_ground_truth/lodzkie_15.tif
dataset/Poland_dataset/HR_image/swietokrzyskie_17.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_17_esa.tif,dataset/Poland_dataset/HR_ground_truth/swietokrzyskie_17.tif
dataset/Poland_dataset/HR_image/podkarpackie_20.tif,dataset/Poland_dataset/ESA_GLC10_label/podkarpackie_20_esa.tif,dataset/Poland_dataset/HR_ground_truth/podkarpackie_20.tif
dataset/Poland_dataset/HR_image/malopolskie_33.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_33_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_33.tif
dataset/Poland_dataset/HR_image/slaskie_20.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_20_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_20.tif
dataset/Poland_dataset/HR_image/malopolskie_39.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_39_esa.tif,
dataset/Poland_dataset/HR_image/wielkopolskie_34.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_34_esa.tif,dataset/Poland_dataset/HR_ground_truth/wielkopolskie_34.tif
dataset/Poland_dataset/HR_image/slaskie_5.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_5_esa.tif,
dataset/Poland_dataset/HR_image/lodzkie_8.tif,dataset/Poland_dataset/ESA_GLC10_label/lodzkie_8_esa.tif,
dataset/Poland_dataset/HR_image/dolnoslaskie_23.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_23_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_23.tif
dataset/Poland_dataset/HR_image/podkarpackie_3.tif,dataset/Poland_dataset/ESA_GLC10_label/podkarpackie_3_esa.tif,dataset/Poland_dataset/HR_ground_truth/podkarpackie_3.tif
dataset/Poland_dataset/HR_image/zachodniopomorskie_3.tif,dataset/Poland_dataset/ESA_GLC10_label/zachodniopomorskie_3_esa.tif,dataset/Poland_dataset/HR_ground_truth/zachodniopomorskie_3.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_39.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_39_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_39.tif
dataset/Poland_dataset/HR_image/zachodniopomorskie_7.tif,dataset/Poland_dataset/ESA_GLC10_label/zachodniopomorskie_7_esa.tif,dataset/Poland_dataset/HR_ground_truth/zachodniopomorskie_7.tif
dataset/Poland_dataset/HR_image/kujawsko-pomorskie_3.tif,dataset/Poland_dataset/ESA_GLC10_label/kujawsko-pomorskie_3_esa.tif,dataset/Poland_dataset/HR_ground_truth/kujawsko-pomorskie_3.tif
dataset/Poland_dataset/HR_image/pomorskie_10.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_10_esa.tif,dataset/Poland_dataset/HR_ground_truth/pomorskie_10.tif
dataset/Poland_dataset/HR_image/lodzkie_9.tif,dataset/Poland_dataset/ESA_GLC10_label/lodzkie_9_esa.tif,dataset/Poland_dataset/HR_ground_truth/lodzkie_9.tif
dataset/Poland_dataset/HR_image/slaskie_12.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_12_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_12.tif
dataset/Poland_dataset/HR_image/malopolskie_40.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_40_esa.tif,
dataset/Poland_dataset/HR_image/podkarpackie_5.tif,dataset/Poland_dataset/ESA_GLC10_label/podkarpackie_5_esa.tif,dataset/Poland_dataset/HR_ground_truth/podkarpackie_5.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_14.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_14_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_14.tif
dataset/Poland_dataset/HR_image/pomorskie_18.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_18_esa.tif,dataset/Poland_dataset/HR_ground_truth/pomorskie_18.tif
dataset/Poland_dataset/HR_image/malopolskie_14.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_14_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_14.tif
dataset/Poland_dataset/HR_image/malopolskie_15.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_15_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_15.tif
dataset/Poland_dataset/HR_image/mazowieckie_31.tif,dataset/Poland_dataset/ESA_GLC10_label/mazowieckie_31_esa.tif,dataset/Poland_dataset/HR_ground_truth/mazowieckie_31.tif
dataset/Poland_dataset/HR_image/lodzkie_10.tif,dataset/Poland_dataset/ESA_GLC10_label/lodzkie_10_esa.tif,dataset/Poland_dataset/HR_ground_truth/lodzkie_10.tif
dataset/Poland_dataset/HR_image/podkarpackie_7.tif,dataset/Poland_dataset/ESA_GLC10_label/podkarpackie_7_esa.tif,dataset/Poland_dataset/HR_ground_truth/podkarpackie_7.tif
dataset/Poland_dataset/HR_image/podkarpackie_21.tif,dataset/Poland_dataset/ESA_GLC10_label/podkarpackie_21_esa.tif,
dataset/Poland_dataset/HR_image/pomorskie_24.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_24_esa.tif,dataset/Poland_dataset/HR_ground_truth/pomorskie_24.tif
dataset/Poland_dataset/HR_image/pomorskie_16.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_16_esa.tif,dataset/Poland_dataset/HR_ground_truth/pomorskie_16.tif
dataset/Poland_dataset/HR_image/kujawsko-pomorskie_11.tif,dataset/Poland_dataset/ESA_GLC10_label/kujawsko-pomorskie_11_esa.tif,dataset/Poland_dataset/HR_ground_truth/kujawsko-pomorskie_11.tif
dataset/Poland_dataset/HR_image/wielkopolskie_35.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_35_esa.tif,dataset/Poland_dataset/HR_ground_truth/wielkopolskie_35.tif
dataset/Poland_dataset/HR_image/podlaskie_6.tif,dataset/Poland_dataset/ESA_GLC10_label/podlaskie_6_esa.tif,dataset/Poland_dataset/HR_ground_truth/podlaskie_6.tif
dataset/Poland_dataset/HR_image/slaskie_15.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_15_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_15.tif
dataset/Poland_dataset/HR_image/slaskie_26.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_26_esa.tif,dataset/Poland_dataset/HR_ground_truth/slaskie_26.tif
dataset/Poland_dataset/HR_image/warminsko-mazurskie_11.tif,dataset/Poland_dataset/ESA_GLC10_label/warminsko-mazurskie_11_esa.tif,dataset/Poland_dataset/HR_ground_truth/warminsko-mazurskie_11.tif
dataset/Poland_dataset/HR_image/swietokrzyskie_20.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_20_esa.tif,dataset/Poland_dataset/HR_ground_truth/swietokrzyskie_20.tif
dataset/Poland_dataset/HR_image/swietokrzyskie_13.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_13_esa.tif,
dataset/Poland_dataset/HR_image/lubuskie_20.tif,dataset/Poland_dataset/ESA_GLC10_label/lubuskie_20_esa.tif,
dataset/Poland_dataset/HR_image/dolnoslaskie_1.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_1_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_1.tif
dataset/Poland_dataset/HR_image/slaskie_4.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_4_esa.tif,
dataset/Poland_dataset/HR_image/malopolskie_21.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_21_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_21.tif
dataset/Poland_dataset/HR_image/malopolskie_32.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_32_esa.tif,
dataset/Poland_dataset/HR_image/dolnoslaskie_29.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_29_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_29.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_38.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_38_esa.tif,
dataset/Poland_dataset/HR_image/lodzkie_5.tif,dataset/Poland_dataset/ESA_GLC10_label/lodzkie_5_esa.tif,
dataset/Poland_dataset/HR_image/malopolskie_31.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_31_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_31.tif
dataset/Poland_dataset/HR_image/kujawsko-pomorskie_22.tif,dataset/Poland_dataset/ESA_GLC10_label/kujawsko-pomorskie_22_esa.tif,
dataset/Poland_dataset/HR_image/lubuskie_22.tif,dataset/Poland_dataset/ESA_GLC10_label/lubuskie_22_esa.tif,dataset/Poland_dataset/HR_ground_truth/lubuskie_22.tif
dataset/Poland_dataset/HR_image/lubuskie_17.tif,dataset/Poland_dataset/ESA_GLC10_label/lubuskie_17_esa.tif,dataset/Poland_dataset/HR_ground_truth/lubuskie_17.tif
dataset/Poland_dataset/HR_image/podlaskie_2.tif,dataset/Poland_dataset/ESA_GLC10_label/podlaskie_2_esa.tif,dataset/Poland_dataset/HR_ground_truth/podlaskie_2.tif
dataset/Poland_dataset/HR_image/zachodniopomorskie_10.tif,dataset/Poland_dataset/ESA_GLC10_label/zachodniopomorskie_10_esa.tif,dataset/Poland_dataset/HR_ground_truth/zachodniopomorskie_10.tif
dataset/Poland_dataset/HR_image/swietokrzyskie_12.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_12_esa.tif,
